id      ,Building Name                   ,Year of Completion ,Total Floors ,Swimming Pools ,Total Parking Spaces ,Total Building Area ,Elevators ,Retail Centres
7726031 ,MARINA TERRACE                  ,2008               ,36           ,NA             ,NA                   ,"305,965 sqft"      ,NA        ,14
8395553 ,ELITE RESIDENCE                 ,2012               ,75           ,NA             ,NA                   ,"925,527 sqft"      ,NA        ,3
8388838 ,MANCHESTER TOWER                ,2008               ,33           ,NA             ,NA                   ,"257,766 sqft"      ,NA        ,3
7829719 ,AL SEEF 1                       ,2005               ,41           ,NA             ,NA                   ,"568,337 sqft"      ,NA        ,8
8378957 ,Stella Maris                    ,2022               ,58           ,1              ,379                  ,"940,502 sqft"      ,8         ,4
5635820 ,EMIRATES CROWN TOWER            ,2009               ,62           ,NA             ,NA                   ,"1,326,014 sqft"    ,NA        ,6
7454384 ,MARINA WHARF II                 ,2014               ,30           ,1              ,200                  ,"223,642 sqft"      ,5         ,13
8045618 ,Marina Quay North               ,2010               ,10           ,NA             ,NA                   ,"204,945 sqft"      ,NA        ,NA
8280253 ,DORRA BAY                       ,2009               ,22           ,NA             ,NA                   ,"297,040 sqft"      ,NA        ,19
8436696 ,VIDA Residences Dubai Marina    ,2022               ,60           ,1              ,562                  ,"1,403,598 sqft"    ,17        ,NA
8223739 ,BOTANICA TOWER-1                ,2011               ,36           ,NA             ,NA                   ,"345,350 sqft"      ,NA        ,6
8439017 ,No.9                            ,2017               ,36           ,2              ,269                  ,"255,330 sqft"      ,7         ,7
8160684 ,EMIRATES CROWN TOWER            ,2009               ,62           ,NA             ,NA                   ,"1,326,014 sqft"    ,NA        ,6
8427885 ,BOTANICA TOWER-1                ,2011               ,36           ,NA             ,NA                   ,"345,350 sqft"      ,NA        ,6
8147924 ,MARINA VIEW TOWER A             ,2009               ,26           ,NA             ,NA                   ,"247,478 sqft"      ,NA        ,11
8410997 ,DAMAC HEIGHTS                   ,2018               ,80           ,1              ,703                  ,"884,073 sqft"      ,12        ,3
8268007 ,Jumeirah Living Marina Gate     ,2020               ,61           ,2              ,729                  ,"1,403,677 sqft"    ,12        ,16
8430398 ,Marina Pinnacle                 ,2011               ,66           ,NA             ,NA                   ,"849,284 sqft"      ,NA        ,7
8425603 ,DAMAC HEIGHTS                   ,2018               ,80           ,1              ,703                  ,"884,073 sqft"      ,12        ,3
8043769 ,MANCHESTER TOWER                ,2008               ,33           ,NA             ,NA                   ,"257,766 sqft"      ,NA        ,3
8425498 ,PRINCESS TOWER                  ,2012               ,89           ,NA             ,NA                   ,"1,097,409 sqft"    ,NA        ,8
7945989 ,Sparkle Tower 2                 ,2019               ,14           ,2              ,126                  ,"107,473 sqft"      ,3         ,NA
6344109 ,BAY CENTRAL 2                   ,2012               ,38           ,NA             ,NA                   ,"277,517 sqft"      ,NA        ,NA
8407269 ,Sparkle Tower 3                 ,2019               ,6            ,2              ,59                   ,"42,166 sqft"       ,3         ,10
8428820 ,OCEAN HEIGHTS                   ,2010               ,75           ,NA             ,NA                   ,"810,161 sqft"      ,NA        ,1
7881066 ,CAYAN TOWER                     ,2013               ,68           ,NA             ,NA                   ,"720,602 sqft"      ,NA        ,7
8328529 ,Al Majara 2                     ,2007               ,33           ,NA             ,NA                   ,"283,672 sqft"      ,NA        ,2
8415767 ,Ciel                            ,NA                 ,1            ,1              ,326                  ,"1,363,152 sqft"    ,19        ,8
8427555 ,DM Yass                         ,2008               ,25           ,NA             ,NA                   ,"326,421 sqft"      ,NA        ,1
5707965 ,BOTANICA TOWER-1                ,2011               ,36           ,NA             ,NA                   ,"345,350 sqft"      ,NA        ,6
8388951 ,VIDA Residences Dubai Marina    ,2022               ,60           ,1              ,562                  ,"1,403,598 sqft"    ,17        ,NA
6126627 ,Orra Marina                     ,2012               ,31           ,NA             ,NA                   ,"294,679 sqft"      ,NA        ,6
8186008 ,OCEAN HEIGHTS                   ,2010               ,75           ,NA             ,NA                   ,"810,161 sqft"      ,NA        ,1
8320267 ,Stella Maris                    ,2022               ,58           ,1              ,379                  ,"940,502 sqft"      ,8         ,4
8320268 ,Stella Maris                    ,2022               ,58           ,1              ,379                  ,"940,502 sqft"      ,8         ,4
8320248 ,Stella Maris                    ,2022               ,58           ,1              ,379                  ,"940,502 sqft"      ,8         ,4
8320266 ,Stella Maris                    ,2022               ,58           ,1              ,379                  ,"940,502 sqft"      ,8         ,4
8396182 ,Torch Tower                     ,2011               ,76           ,NA             ,NA                   ,"852,218 sqft"      ,NA        ,6
8348723 ,Silverene Towers A              ,2011               ,34           ,NA             ,NA                   ,"342,968 sqft"      ,NA        ,4
8420635 ,VIDA Residences Dubai Marina    ,2022               ,60           ,1              ,562                  ,"1,403,598 sqft"    ,17        ,NA
8331310 ,Cavalli Casa Tower              ,NA                 ,72           ,1              ,640                  ,"1,908,955 sqft"    ,19        ,3
6113545 ,No.9                            ,2017               ,36           ,2              ,269                  ,"255,330 sqft"      ,7         ,7
5333448 ,IRIS BLUE                       ,2011               ,29           ,NA             ,NA                   ,"211,465 sqft"      ,NA        ,6
8404224 ,Studio One                      ,2019               ,32           ,1              ,424                  ,"264,403 sqft"      ,6         ,5
8381901 ,LIV RESIDENCE                   ,2020               ,28           ,1              ,205                  ,"427,447 sqft"      ,4         ,8
8382043 ,LIV RESIDENCE                   ,2020               ,28           ,1              ,205                  ,"427,447 sqft"      ,4         ,8
7866957 ,Marina Pinnacle                 ,2011               ,66           ,NA             ,NA                   ,"849,284 sqft"      ,NA        ,7
8415368 ,Marina Quay North               ,2010               ,10           ,NA             ,NA                   ,"204,945 sqft"      ,NA        ,NA
8407671 ,Marina Pinnacle                 ,2011               ,66           ,NA             ,NA                   ,"849,284 sqft"      ,NA        ,7
8380210 ,DEC TOWERS T1                   ,2009               ,22           ,NA             ,NA                   ,"216,192 sqft"      ,NA        ,NA
8072294 ,AZURE                           ,2008               ,6            ,NA             ,NA                   ,"120,642 sqft"      ,NA        ,1
8160897 ,DREAM TOWER                     ,2010               ,30           ,NA             ,NA                   ,"500,579 sqft"      ,NA        ,8
8395693 ,MANCHESTER TOWER                ,2008               ,33           ,NA             ,NA                   ,"257,766 sqft"      ,NA        ,3
8376051 ,PARK ISLAND SANIBEL             ,2010               ,28           ,1              ,205                  ,"370,407 sqft"      ,3         ,NA
7558971 ,MARINA VIEW TOWER A             ,2009               ,26           ,NA             ,NA                   ,"247,478 sqft"      ,NA        ,11
8251357 ,DREAM TOWER                     ,2010               ,30           ,NA             ,NA                   ,"500,579 sqft"      ,NA        ,8
8384177 ,MARINA PEARL                    ,2009               ,6            ,NA             ,NA                   ,"71,217 sqft"       ,NA        ,9
8320265 ,Stella Maris                    ,2022               ,58           ,1              ,379                  ,"940,502 sqft"      ,8         ,4
