id,Building Name,Year of Completion,Total Floors,Swimming Pools,Total Parking Spaces,Total Building Area,Elevators,Retail Centres
8214591,DAMAC HEIGHTS,2018,80,1,703,"884,073 sqft",12,3
8405774,Paloma x3,2009,40,NA,985,"275,870 sqft",3,NA
8438544,CAYAN TOWER,2013,68,NA,NA,"720,602 sqft",NA,7
8158081,CAYAN TOWER,2013,68,NA,NA,"720,602 sqft",NA,7
8432995,52|42 Tower 2,2020,38,NA,245,"1,465,941 sqft",5,NA
8198835,Cavalli Casa Tower,NA,72,1,640,"1,908,955 sqft",19,3
8198836,Cavalli Casa Tower,NA,72,1,640,"1,908,955 sqft",19,3
6651560,MARINA SHORES,NA,11,1,551,"1,133,555 sqft",12,7
6651559,MARINA SHORES,NA,11,1,551,"1,133,555 sqft",12,7
6651484,MARINA SHORES,NA,11,1,551,"1,133,555 sqft",12,7
7894440,Cavalli Casa Tower,NA,72,1,640,"1,908,955 sqft",19,3
8253176,MARINA ARCADE,2017,49,1,367,"858,187 sqft",8,1
8253930,MARINA ARCADE,2017,49,1,367,"858,187 sqft",8,1
8251403,MARINA ARCADE,2017,49,1,367,"858,187 sqft",8,1
8453941,Dubai Marina Mall Hotel,2009,31,NA,NA,"1,565,456 sqft",NA,12
8395553,ELITE RESIDENCE,2012,75,NA,NA,"925,527 sqft",NA,3
7758770,NA,NA,NA,NA,NA,NA,NA,NA
7829719,AL SEEF 1,2005,41,NA,NA,"568,337 sqft",NA,8
8045618,Marina Quay North,2010,10,NA,NA,"204,945 sqft",NA,NA
8280253,DORRA BAY,2009,22,NA,NA,"297,040 sqft",NA,19
7638018,MARINA SHORES,NA,11,1,551,"1,133,555 sqft",12,7
6236491,MARINA SHORES,NA,11,1,551,"1,133,555 sqft",12,7
7621409,NA,NA,NA,NA,NA,NA,NA,NA
8223739,BOTANICA TOWER-1,2011,36,NA,NA,"345,350 sqft",NA,6
8204588,PARK ISLAND BONAIRE,2010,32,1,190,"433,754 sqft",3,NA
8439017,No.9,2017,36,2,269,"255,330 sqft",7,7
8357641,DM MESK,2008,38,NA,NA,"498,918 sqft",NA,4
8160684,EMIRATES CROWN TOWER,2009,62,NA,NA,"1,326,014 sqft",NA,6
8431472,MAG218,2010,57,NA,NA,"689,176 sqft",NA,7
8427885,BOTANICA TOWER-1,2011,36,NA,NA,"345,350 sqft",NA,6
8410997,DAMAC HEIGHTS,2018,80,1,703,"884,073 sqft",12,3
8268007,Jumeirah Living Marina Gate,2020,61,2,729,"1,403,677 sqft",12,16
8198266,WEST AVENUE,2014,35,NA,NA,"267,598 sqft",NA,5
8425603,DAMAC HEIGHTS,2018,80,1,703,"884,073 sqft",12,3
8322536,VIDA Residences Dubai Marina,2022,60,1,562,"1,403,598 sqft",17,NA
8109536,VIDA Residences Dubai Marina,2022,60,1,562,"1,403,598 sqft",17,NA
7945989,Sparkle Tower 2,2019,14,2,126,"107,473 sqft",3,NA
8428820,OCEAN HEIGHTS,2010,75,NA,NA,"810,161 sqft",NA,1
7881066,CAYAN TOWER,2013,68,NA,NA,"720,602 sqft",NA,7
8328529,Al Majara 2,2007,33,NA,NA,"283,672 sqft",NA,2
8436105,Cavalli Casa Tower,NA,72,1,640,"1,908,955 sqft",19,3
8415767,Ciel,NA,1,1,326,"1,363,152 sqft",19,8
8197944,PRINCESS TOWER,2012,89,NA,NA,"1,097,409 sqft",NA,8
8186008,OCEAN HEIGHTS,2010,75,NA,NA,"810,161 sqft",NA,1
8320267,Stella Maris,2022,58,1,379,"940,502 sqft",8,4
8320268,Stella Maris,2022,58,1,379,"940,502 sqft",8,4
8320248,Stella Maris,2022,58,1,379,"940,502 sqft",8,4
8348723,Silverene Towers A,2011,34,NA,NA,"342,968 sqft",NA,4
8331310,Cavalli Casa Tower,NA,72,1,640,"1,908,955 sqft",19,3
6113545,No.9,2017,36,2,269,"255,330 sqft",7,7
5321833,Silverene Towers A,2011,34,NA,NA,"342,968 sqft",NA,4
8404224,Studio One,2019,32,1,424,"264,403 sqft",6,5
8407671,Marina Pinnacle,2011,66,NA,NA,"849,284 sqft",NA,7
8072294,AZURE,2008,6,NA,NA,"120,642 sqft",NA,1
7550999,Ciel,NA,1,1,326,"1,363,152 sqft",19,8
8424583,Ciel,NA,1,1,326,"1,363,152 sqft",19,8
8160897,DREAM TOWER,2010,30,NA,NA,"500,579 sqft",NA,8
8395693,MANCHESTER TOWER,2008,33,NA,NA,"439,936 sqft",NA,3
7558971,MARINA VIEW TOWER A,2009,26,NA,NA,"247,478 sqft",NA,11
8320265,Stella Maris,2022,58,1,379,"940,502 sqft",8,4
8088967,ESCAN MARINA TOWER,2016,31,NA,NA,"278,342 sqft",NA,2
8160665,TRIDENT GRAND RESIDENCE,2010,40,NA,NA,"530,884 sqft",NA,22
7615906,Cavalli Casa Tower,NA,72,1,640,"1,908,955 sqft",19,3
8398727,Cavalli Casa Tower,NA,72,1,640,"1,908,955 sqft",19,3
8382534,Cavalli Casa Tower,NA,72,1,640,"1,908,955 sqft",19,3
8278673,OPAL TOWER,2009,30,NA,NA,"261,612 sqft",NA,NA
8361588,Sulafa Tower,2010,67,NA,NA,"846,914 sqft",NA,1
7559113,CAYAN TOWER,2013,68,NA,NA,"720,602 sqft",NA,7
8349916,VIDA Residences Dubai Marina,2022,60,1,562,"1,403,598 sqft",17,NA
8351929,VIDA Residences Dubai Marina,2022,60,1,562,"1,403,598 sqft",17,NA
8296510,SHEMARA W2,2009,32,NA,985,"207,736 sqft",3,NA
8305653,ROYAL OCEANIC-1,2009,32,NA,NA,"370,459 sqft",NA,7
8294283,Sulafa Tower,2010,67,NA,NA,"846,914 sqft",NA,1
7870784,Cavalli Casa Tower,NA,72,1,640,"1,908,955 sqft",19,3
8344342,Sparkle Tower 1,2019,29,2,231,"268,322 sqft",5,NA
8346772,Sparkle Tower 2,2019,14,2,126,"107,473 sqft",3,NA
8344506,Sparkle Tower 2,2019,14,2,126,"107,473 sqft",3,NA
8086329,OCEAN HEIGHTS,2010,75,NA,NA,"810,161 sqft",NA,1
8203163,ESCAN MARINA TOWER,2016,31,NA,NA,"278,342 sqft",NA,2
8102975,DAMAC HEIGHTS,2018,80,1,703,"884,073 sqft",12,3
7850513,MAG218,2010,57,NA,NA,"689,176 sqft",NA,7
8533859,Jumeirah Living Marina Gate,2020,61,2,729,"1,403,677 sqft",12,16
6909547,ELITE RESIDENCE,2012,75,NA,NA,"925,527 sqft",NA,3
8498357,Beauport X1,2009,25,NA,985,"138,520 sqft",3,NA
8519745,AL SEEF 1,2005,41,NA,NA,"568,337 sqft",NA,8
8528629,MARINA HEIGHTS 1,2007,52,NA,NA,"579,717 sqft",NA,7
8508256,MARINA DIAMOND 4,2008,20,NA,NA,"177,922 sqft",NA,4
8502796,Al Majara 1,2007,29,NA,NA,"254,302 sqft",NA,1
8498876,PRINCESS TOWER,2012,89,NA,NA,"1,097,409 sqft",NA,8
8497546,VIDA Residences Dubai Marina,2022,60,1,562,"1,403,598 sqft",17,NA
8509465,OPAL TOWER,2009,30,NA,NA,"261,612 sqft",NA,NA
8497253,Sulafa Tower,2010,67,NA,NA,"846,914 sqft",NA,1
8474781,VIDA Residences Dubai Marina,2022,60,1,562,"1,403,598 sqft",17,NA
8475015,PANORAMIC,2009,9,NA,NA,"73,580 sqft",NA,4
8462600,MARINA ARCADE,2017,49,1,367,"858,187 sqft",8,1
8426428,ATTESSA X2,2009,32,NA,985,"197,703 sqft",3,NA
8449645,Horizon Tower,2008,42,NA,NA,"411,917 sqft",NA,1
8444768,BOTANICA TOWER-1,2011,36,NA,NA,"345,350 sqft",NA,6
8463147,SAHAB-2,2007,73,NA,NA,"330,196 sqft",NA,NA
8443478,PRINCESS TOWER,2012,89,NA,NA,"1,097,409 sqft",NA,8
8438379,MARINA RESIDENCE B,2008,16,NA,NA,"81,704 sqft",NA,NA
8421473,THE WAVES B,2008,12,NA,NA,"159,627 sqft",NA,10
8393643,MARINA DIAMOND - A,2008,15,NA,NA,"124,220 sqft",NA,5
8393053,THE WAVES A,2008,22,NA,NA,"216,005 sqft",NA,NA
8344509,MARINA ARCADE,2017,49,1,367,"858,187 sqft",8,1
8348095,VIDA Residences Dubai Marina,2022,60,1,562,"1,403,598 sqft",17,NA
8326430,MARINA DIAMOND-2,2008,16,NA,NA,"179,373 sqft",NA,5
8316451,ROYAL OCEANIC-1,2009,32,NA,NA,"370,459 sqft",NA,7
8318666,VIDA Residences Dubai Marina,2022,60,1,562,"1,403,598 sqft",17,NA
8309213,TRIDENT GRAND RESIDENCE,2010,40,NA,NA,"530,884 sqft",NA,22
8433508,Torch Tower,2011,76,NA,NA,"852,218 sqft",NA,6
8288264,ZUMURUD,2010,30,NA,NA,"279,413 sqft",NA,3
8283156,TFG MARINA,2015,33,NA,NA,"241,220 sqft",NA,4
8277079,TFG ONE HOTEL,2018,23,1,106,"217,036 sqft",6,5
8324794,Sky View Tower,2011,27,NA,NA,"231,557 sqft",NA,6
8281693,MARINA RESIDENCE A,2008,16,NA,NA,"81,708 sqft",NA,NA
8248046,SHEMARA W2,2009,32,NA,985,"207,736 sqft",3,NA
